,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
MCTP2,1.17833571657357e-27,1.260543296,0.155,0.099,6.54270906627475e-23,FCRL5,MCTP2
YIF1A,0,1.509401832,0.917,0.453,0,FRZB,YIF1A
PAWR,7.33257542094419e-301,1.239665376,0.23,0.074,4.07141250247926e-296,MKI67,PAWR
N4BP1,7.32758827876837e-80,0.981967035,0.175,0.098,4.06864339178614e-75,GZMA,N4BP1
NCBP3,7.32741615245887e-230,1.015067313,0.234,0.088,4.06854781865279e-225,MKI67,NCBP3
TRIM11,7.32606494683189e-195,0.932325088,0.175,0.061,4.0677975617284e-190,MKI67,TRIM11
OAS2,7.32364477831777e-269,1.009599302,0.301,0.12,4.06645376316094e-264,MKI67,OAS2
SMIM37,7.3220935692182e-154,0.813321042,0.222,0.098,4.06559245430841e-149,MKI67,SMIM37
MIER1,7.3216810483931e-83,0.889855504,0.244,0.152,4.06536340212027e-78,GZMA,MIER1
NDUFS42,1.83703841958233e-275,1.509070336,0.731,0.284,1.02001558247309e-270,FRZB,NDUFS4
UBE2E21,1.02271817385752e-134,1.508843577,0.37,0.126,5.67864266034389e-130,FRZB,UBE2E2
MAT2A,7.30970961675903e-289,0.933379822,0.413,0.193,4.05871626470545e-284,MKI67,MAT2A
WDR51,6.71566785921522e-90,1.508487275,0.269,0.094,3.72887457882925e-85,FRZB,WDR5
SLU7,7.61614260689538e-69,1.260131561,0.324,0.221,4.22886318247866e-64,FCRL5,SLU7
SMIM10L1,2.6609668132135e-143,1.507819075,0.415,0.15,1.4775018230368e-138,FRZB,SMIM10L1
ARPC51,1.96019861607002e-234,1.25936284,0.599,0.397,1.08840028157288e-229,FCRL5,ARPC5
TPRA1,7.44693808463648e-120,1.507766003,0.356,0.127,4.1349123714944e-115,FRZB,TPRA1
CIAO1,7.28894098511078e-256,0.780161592,0.389,0.181,4.04718448198276e-251,MKI67,CIAO1
TAF7,3.37593832540525e-217,1.259274051,0.586,0.401,1.87448975518127e-212,FCRL5,TAF7
NOP101,0,1.50717286,0.994,0.574,0,FRZB,NOP10
CBL,7.27925738856368e-240,1.19676685,0.188,0.061,4.04180766499998e-235,MKI67,CBL
RNF214,7.27924302336966e-199,0.916270395,0.194,0.07,4.041799688726e-194,MKI67,RNF214
NDUFS31,0,1.506961954,0.825,0.354,0,FRZB,NDUFS3
EMC61,1.10360170512648e-272,1.5067668,0.742,0.296,6.1277484677148e-268,FRZB,EMC6
ITFG1,2.53541154080805e-258,1.506171193,0.711,0.284,1.40778725803367e-253,FRZB,ITFG1
SKAP1,7.26915699022783e-169,1.392564377,0.236,0.116,4.036199418824e-164,GZMA,SKAP1
GTPBP81,1.6790250153052e-99,1.506030125,0.288,0.099,9.32278639748212e-95,FRZB,GTPBP8
TSG1011,2.71146793723016e-246,1.504828396,0.666,0.253,1.50554257214705e-241,FRZB,TSG101
STK38,7.26574252719579e-133,0.905276748,0.154,0.061,4.03430353822546e-128,MKI67,STK38
SH3BGRL,9.00729108093166e-214,1.258582917,0.588,0.407,5.0012983726873e-209,FCRL5,SH3BGRL
POGK,7.26371233607124e-173,0.885314346,0.164,0.058,4.03317627460356e-168,MKI67,POGK
MAPKAP11,6.00198819097871e-149,1.504795476,0.437,0.159,3.33260394304093e-144,FRZB,MAPKAP1
HIST1H2BC,1.04731766566352e-81,1.257996822,0.275,0.155,5.8152313385967e-77,FCRL5,HIST1H2BC
RPF1,7.26092045337415e-247,0.798633693,0.328,0.14,4.031626081736e-242,MKI67,RPF1
ALG61,3.63986273560621e-82,1.504329503,0.21,0.066,2.02103378394535e-77,FRZB,ALG6
NCF4,1.18694903279969e-263,1.504286566,0.728,0.301,6.59053450462029e-259,FRZB,NCF4
ASF1A1,5.82618584559483e-19,1.257717004,0.16,0.115,3.23498969076653e-14,FCRL5,ASF1A
HDAC31,1.69805009719189e-130,1.503767737,0.382,0.136,9.42842316465798e-126,FRZB,HDAC3
ATF6B,2.34470870764165e-100,1.257625847,0.394,0.265,1.30189950991803e-95,FCRL5,ATF6B
ARHGAP27,2.32816966702464e-110,1.503563964,0.326,0.115,1.29271620761543e-105,FRZB,ARHGAP27
FAM13B,7.24654474168873e-125,0.810611844,0.164,0.069,4.02364396782267e-120,MKI67,FAM13B
STX10,7.24201084976713e-236,0.81698279,0.304,0.128,4.0211265243332e-231,MKI67,STX10
FAM96A1,0,1.502928489,0.784,0.285,0,FRZB,FAM96A
PLEKHA3,6.90444503650348e-39,1.25671585,0.236,0.163,3.83369310651856e-34,FCRL5,PLEKHA3
CHD8,7.23495017812736e-233,1.020227245,0.232,0.086,4.01720608640522e-228,MKI67,CHD8
SCFD2,8.8596137515465e-50,1.502837525,0.151,0.052,4.9193005355462e-45,FRZB,SCFD2
TMEM111,1.20023604188445e-146,1.502657827,0.441,0.163,6.66431062256342e-142,FRZB,TMEM11
PPIL3,7.22263557837749e-285,1.015160272,0.295,0.112,4.0103684048941e-280,MKI67,PPIL3
GSDMD1,2.54376579329458e-242,1.502427815,0.661,0.251,1.41242595672682e-237,FRZB,GSDMD
STMP12,1.01795289756259e-150,1.502065771,0.439,0.16,5.65218346371629e-146,FRZB,STMP1
SCAI,7.21787705378377e-206,0.960154207,0.153,0.048,4.00772623411344e-201,MKI67,SCAI
SNRPN1,0,1.50203366,0.861,0.381,0,FRZB,SNRPN
CCR2,7.20897691028211e-192,0.788360305,0.23,0.092,4.00278442943414e-187,MKI67,CCR2
NCBP22,1.62860336309374e-242,1.501893819,0.637,0.23,9.04282017357802e-238,FRZB,NCBP2
LINC01184,1.92132891287713e-25,1.25581418,0.155,0.102,1.06681787887503e-20,FCRL5,LINC01184
TMEM138,2.14500188902606e-20,1.255583405,0.156,0.108,1.19101229888172e-15,FCRL5,TMEM138
ELOC2,0,1.501611797,0.895,0.405,0,FRZB,ELOC
TSR31,4.41490865824536e-214,1.501570904,0.598,0.222,2.45137803249074e-209,FRZB,TSR3
SDHAF21,8.07900576378696e-143,1.500514241,0.402,0.14,4.48586795034271e-138,FRZB,SDHAF2
SRD5A3,3.06703305733043e-36,1.254609302,0.217,0.147,1.70297010508272e-31,FCRL5,SRD5A3
CIB1,0,1.500350803,0.843,0.382,0,FRZB,CIB1
ATP5IF1,0,1.253373978,0.719,0.481,0,FCRL5,ATP5IF1
ADSS,7.1935093540917e-251,0.775675097,0.332,0.14,3.99419606885942e-246,MKI67,ADSS
GFM11,1.67322733008598e-109,1.499989196,0.306,0.103,9.29059475030238e-105,FRZB,GFM1
DESI21,9.02834257930897e-33,1.253038587,0.212,0.146,5.0129872171613e-28,FCRL5,DESI2
PSMD9,7.18205213414794e-261,0.893835229,0.383,0.178,3.98783444748564e-256,MKI67,PSMD9
CHID11,0,1.499635651,0.975,0.51,0,FRZB,CHID1
TCEAL1,3.81826919337292e-76,1.499523507,0.21,0.069,2.12009396962031e-71,FRZB,TCEAL1
CDC341,3.71853562101042e-81,1.49946246,0.261,0.095,2.06471690356603e-76,FRZB,CDC34
FXR1,7.17658587806224e-264,0.772338805,0.465,0.233,3.98479930879406e-259,MKI67,FXR1
TLE31,1.96553480934874e-207,1.498882505,0.553,0.195,1.09136320289089e-202,FRZB,TLE3
HOTAIRM1,4.03841737047494e-67,1.497637923,0.21,0.074,2.24233124495621e-62,FRZB,HOTAIRM1
RNF14,9.2613243388531e-95,1.497419297,0.288,0.101,5.14235033914818e-90,FRZB,RNF14
SAMD9L1,2.84193148732452e-81,1.25096419,0.338,0.219,1.57798245833694e-76,FCRL5,SAMD9L
IGSF8,7.85480185896095e-185,1.49704325,0.512,0.182,4.36137873218807e-180,FRZB,IGSF8
ZMAT5,8.83473619435891e-90,1.496759894,0.262,0.09,4.90548727191779e-85,FRZB,ZMAT5
EBLN3P1,8.67098319618855e-159,1.496589459,0.456,0.165,4.81456341968369e-154,FRZB,EBLN3P
MRPL131,2.16251922310164e-181,1.496471519,0.514,0.186,1.20073879862719e-176,FRZB,MRPL13
ELP51,3.94112815259498e-184,1.496463215,0.519,0.189,2.18831140672836e-179,FRZB,ELP5
NAT10,7.15833146210315e-254,1.257656177,0.171,0.051,3.97466354433277e-249,MKI67,NAT10
ANKRD39,7.1559391402789e-294,0.935037478,0.345,0.141,3.97333520763986e-289,MKI67,ANKRD39
PUM21,7.15214188679755e-191,0.777279193,0.275,0.122,3.97122678264434e-186,MKI67,PUM2
TM9SF4,1.71144371124902e-33,1.250674181,0.231,0.166,9.50279120671019e-29,FCRL5,TM9SF4
TBC1D1,7.14715972560703e-209,0.785388353,0.275,0.116,3.9684604376433e-204,MKI67,TBC1D1
PUS3,1.82768150212755e-79,1.496308201,0.239,0.083,1.01482015405632e-74,FRZB,PUS3
SMIM1,9.93489352400302e-96,1.495705084,0.274,0.093,5.51634962920268e-91,FRZB,SMIM1
SNF81,9.31979500520006e-269,1.495492957,0.748,0.303,5.17481617663733e-264,FRZB,SNF8
PRPF312,2.21566553591993e-213,1.494723039,0.563,0.195,1.23024828881954e-208,FRZB,PRPF31
USF2,2.96936628043321e-111,1.250624802,0.406,0.266,1.64874062721054e-106,FCRL5,USF2
ZNF5112,1.30944271621736e-169,1.494351229,0.496,0.184,7.2706806817969e-165,FRZB,ZNF511
USF21,2.99523513464752e-282,1.494126648,0.725,0.265,1.66310430851303e-277,FRZB,USF2
BNIP2,9.21718614716283e-215,1.493894421,0.592,0.219,5.11784260821216e-210,FRZB,BNIP2
LINC00847,2.7429857432172e-44,1.493545716,0.161,0.062,1.52304283392135e-39,FRZB,LINC00847
MUT,7.12664610730841e-188,0.765980461,0.176,0.062,3.957070251083e-183,MKI67,MUT
ATP5MC1,1.06065492043522e-264,1.249731122,0.646,0.429,5.88928644571653e-260,FCRL5,ATP5MC1
THUMPD2,7.12489697679836e-185,1.056098902,0.165,0.057,3.95609904636729e-180,MKI67,THUMPD2
IFNAR1,0,1.493167935,0.898,0.437,0,FRZB,IFNAR1
ZC3H8,7.12327814801861e-189,0.79779469,0.215,0.084,3.95520019168733e-184,MKI67,ZC3H8
RHOG2,7.55835525797865e-186,1.493030364,0.523,0.189,4.19677675699265e-181,FRZB,RHOG
ANKRD40,2.91284697820854e-69,1.492820596,0.206,0.07,1.61735828465029e-64,FRZB,ANKRD40
PSPC11,3.17929434214608e-23,1.249238433,0.191,0.139,1.76530318347661e-18,FCRL5,PSPC1
NMB1,2.48487990513608e-118,1.492787571,0.283,0.086,1.37972956732681e-113,FRZB,NMB
SPINT1,7.11770256284865e-106,1.069206405,0.153,0.054,3.95210434802171e-101,PGA5,SPINT1
HNRNPA1P48,6.62980362663085e-73,1.492202544,0.165,0.047,3.68119846368678e-68,FRZB,HNRNPA1P48
GTPBP3,7.1102905060806e-235,0.871793409,0.291,0.12,3.94798880350125e-230,MKI67,GTPBP3
CYSTM12,2.23839648475335e-260,1.491568525,0.689,0.261,1.2428696481593e-255,FRZB,CYSTM1
PPP1R11,3.53932326934276e-54,1.249184851,0.301,0.213,1.96520924530257e-49,FCRL5,PPP1R11
pP01,7.09573538246469e-61,0.855259353,0.207,0.163,3.93990707111352e-56,IGHA2,pP01
TMEM106B,6.01978528783144e-40,1.248515184,0.258,0.184,3.34248578106841e-35,FCRL5,TMEM106B
FBXL5,1.30461886710832e-22,1.248334228,0.175,0.124,7.24389625961897e-18,FCRL5,FBXL5
AL118516.1,1.72141962166404e-74,1.491388437,0.22,0.075,9.55818244928955e-70,FRZB,AL118516.1
TMEM9B1,1.74681500243466e-237,1.490058349,0.651,0.245,9.69919030101843e-233,FRZB,TMEM9B
MIXL1,4.16579761282327e-29,1.248063003,0.176,0.116,2.31305912452012e-24,FCRL5,MIXL1
NDUFS71,0,1.489955123,0.968,0.517,0,FRZB,NDUFS7
MDP1,1.75412494339745e-53,1.489595937,0.208,0.083,9.73977874821432e-49,FRZB,MDP1
PTPA,7.08850844373396e-164,0.995778415,0.192,0.078,3.93589431338328e-159,MKI67,PTPA
SLC25A32,3.5236210049587e-96,1.48919129,0.299,0.109,1.95649056300332e-91,FRZB,SLC25A32
PLOD3,2.31857420788668e-177,1.48811564,0.467,0.156,1.28738832892908e-172,FRZB,PLOD3
C6orf226,8.34124686332616e-82,1.488102246,0.25,0.087,4.63147732086185e-77,FRZB,C6orf226
NIFK1,1.47747122628902e-193,1.487948548,0.546,0.199,8.20365898396977e-189,FRZB,NIFK
LAX1,7.93451180512088e-148,1.247668396,0.472,0.306,4.40563767979337e-143,FCRL5,LAX1
RFC41,1.00526390936336e-63,1.487641674,0.204,0.072,5.58172785674005e-59,FRZB,RFC4
MRPS72,2.06833880372093e-274,1.487157987,0.757,0.31,1.14844512076605e-269,FRZB,MRPS7
FBXL61,7.1798135056507e-74,1.486503144,0.221,0.076,3.98659144901255e-69,FRZB,FBXL6
PPAN1,1.18938189063362e-22,1.246790405,0.153,0.103,6.60404294774316e-18,FCRL5,PPAN
SELENOH1,0,1.485791714,0.914,0.414,0,FRZB,SELENOH
OGFOD31,8.72053222738267e-208,1.485785187,0.586,0.221,4.84207551925423e-203,FRZB,OGFOD3
BTF3L4,4.44578935105088e-230,1.485639833,0.644,0.248,2.468524537171e-225,FRZB,BTF3L4
CDKN2A1,2.66102084134479e-199,1.485184724,0.553,0.197,1.47753182215669e-194,FRZB,CDKN2A
NSD11,1.04577213449463e-244,1.4843426,0.627,0.218,5.80664977678145e-240,FRZB,NSD1
CENPX2,3.90751262152985e-149,1.484246161,0.446,0.164,2.16964638310445e-144,FRZB,CENPX
GLIPR11,8.04857086805324e-64,1.24665817,0.343,0.246,4.46896897448656e-59,FCRL5,GLIPR1
CWC271,6.77228997925586e-19,1.245204469,0.168,0.123,3.76031401098182e-14,FCRL5,CWC27
DOCK21,7.02773906926076e-236,0.954926515,0.286,0.119,3.90215211820704e-231,MKI67,DOCK2
PLEKHH32,1.17766641601089e-96,1.483889168,0.279,0.094,6.53899277490045e-92,FRZB,PLEKHH3
ATP6V1B2,7.02457816463057e-189,0.9109216,0.186,0.068,3.90039702591112e-184,MKI67,ATP6V1B2
FLAD1,7.02153791056592e-226,0.756359753,0.29,0.12,3.89870892484172e-221,MKI67,FLAD1
PPA22,7.51270649610495e-218,1.483640679,0.611,0.228,4.17143028196227e-213,FRZB,PPA2
ZBTB38,0,1.24421121,0.8,0.556,0,FCRL5,ZBTB38
PPP2CA,1.2451162730793e-270,1.483091056,0.767,0.334,6.91350810627284e-266,FRZB,PPP2CA
EVI2A,8.94226733473807e-110,1.24391843,0.425,0.288,4.96519393761331e-105,FCRL5,EVI2A
TOLLIP,7.45741816191786e-148,1.483044013,0.453,0.171,4.14073143440489e-143,FRZB,TOLLIP
PRPF41,9.90475367025974e-78,1.482450165,0.243,0.087,5.49961447541172e-73,FRZB,PRPF4
TRAF4,7.00657681161974e-152,0.756358373,0.23,0.104,3.89040177465186e-147,MKI67,TRAF4
MED16,2.61104320209691e-113,1.482365181,0.355,0.132,1.44978173796431e-108,FRZB,MED16
SASH31,7.00315372945069e-109,0.98332943,0.21,0.113,3.88850110827749e-104,GZMA,SASH3
CCDC90B,1.68670848698121e-237,1.482204757,0.665,0.259,9.36544887396317e-233,FRZB,CCDC90B
DDX39A1,4.90042909725205e-238,1.482036233,0.676,0.267,2.7209632562492e-233,FRZB,DDX39A
SNX41,1.42909087379798e-89,1.481000747,0.287,0.105,7.93502707676331e-85,FRZB,SNX4
GEMIN61,1.5214401165611e-90,1.480466182,0.256,0.086,8.44779624720549e-86,FRZB,GEMIN6
MBIP,6.98536493390181e-151,0.759371717,0.198,0.083,3.87862387954898e-146,MKI67,MBIP
GNPDA2,2.55480867073856e-62,1.480162104,0.167,0.053,1.41855751442759e-57,FRZB,GNPDA2
SINHCAF1,1.55709974825671e-106,1.479433061,0.351,0.134,8.6457963521954e-102,FRZB,SINHCAF
GLMP,7.48803667032476e-36,1.242237074,0.217,0.147,4.15773236119783e-31,FCRL5,GLMP
CEBPZOS,1.71038959526611e-23,1.241918773,0.176,0.123,9.49693822771508e-19,FCRL5,CEBPZOS
TMEM175,1.45830031457011e-23,1.241712567,0.182,0.13,8.09721249665054e-19,FCRL5,TMEM175
NENF,0,1.240641322,0.713,0.481,0,FCRL5,NENF
ATXN2,6.96693655592819e-183,0.765283233,0.248,0.106,3.86839152267912e-178,MKI67,ATXN2
ARMC10,7.41147467666353e-179,1.479218022,0.515,0.189,4.11522131421743e-174,FRZB,ARMC10
FEM1A1,9.9596952493116e-77,1.478470233,0.222,0.075,5.53012078718027e-72,FRZB,FEM1A
AC084033.3,6.95878730190845e-264,1.485674533,0.202,0.066,3.86386664938466e-259,MKI67,AC084033.3
ZNF414,7.37902418650827e-58,1.478169222,0.167,0.056,4.09720317955872e-53,FRZB,ZNF414
TTC14,1.25050766208258e-96,1.240580551,0.392,0.263,6.94344379371355e-92,FCRL5,TTC14
CRIPT,6.95521561423716e-294,0.758473682,0.46,0.216,3.86188346980518e-289,MKI67,CRIPT
MYO1G,6.95455184486066e-200,1.633573508,0.178,0.07,3.86151491185888e-195,GZMA,MYO1G
ATP5PB,1.36408453474784e-120,1.24017627,0.461,0.323,7.57407937918737e-116,FCRL5,ATP5PB
HTATIP21,1.58037985011725e-146,1.478047626,0.422,0.149,8.77505911777603e-142,FRZB,HTATIP2
GPNMB,4.83702598535438e-66,1.477774912,0.19,0.064,2.68575867836802e-61,FRZB,GPNMB
ZNF444,1.41824829471317e-73,1.477757413,0.219,0.075,7.87482365639486e-69,FRZB,ZNF444
CASP61,1.1107112446844e-54,1.477594687,0.176,0.063,6.16722418611014e-50,FRZB,CASP6
pB07 (prolif)2,6.93070343462907e-34,2.281193624,0.209,0.173,3.84827308207779e-29,MKI67,pB07 (prolif)
PRADC1,4.37636537911303e-179,1.477525111,0.523,0.195,2.42997687675251e-174,FRZB,PRADC1
TTC12,1.80222525358032e-221,1.47585717,0.627,0.238,1.00068557205048e-216,FRZB,TTC1
PGGT1B,2.85767165022566e-83,1.475796212,0.252,0.088,1.5867221837878e-78,FRZB,PGGT1B
MALSU11,2.50090238809422e-49,1.238997661,0.286,0.203,1.38862605098931e-44,FCRL5,MALSU1
TMEM1092,2.30121114864625e-225,1.474411494,0.633,0.24,1.27774749028583e-220,FRZB,TMEM109
DGAT1,6.92633661089133e-150,0.772299866,0.179,0.071,3.84584840319741e-145,MKI67,DGAT1
BEX4,7.28229176832783e-34,1.23845063,0.185,0.119,4.04349250436403e-29,FCRL5,BEX4
TLK1,2.69477351067128e-77,1.238104599,0.355,0.242,1.49627299180023e-72,FCRL5,TLK1
DCTN31,4.33250044932826e-205,1.237916395,0.579,0.402,2.40562087448951e-200,FCRL5,DCTN3
MX11,2.7088569320154e-246,1.474167746,0.661,0.24,1.50409281150155e-241,FRZB,MX1
ENTPD11,6.89104691834949e-122,0.933710575,0.269,0.156,3.82625380141355e-117,GZMA,ENTPD1
TOE1,6.89072504461576e-301,1.324065412,0.182,0.051,3.8260750810229e-296,MKI67,TOE1
ANKRD16,6.88967143335248e-162,0.798151349,0.154,0.055,3.82549006336897e-157,MKI67,ANKRD16
PAF12,6.93025191854298e-122,1.474164488,0.388,0.147,3.84802237777099e-117,FRZB,PAF1
PUM31,6.97351433393082e-33,1.237836384,0.191,0.126,3.87204383391509e-28,FCRL5,PUM3
BAP1,6.87734818895093e-214,0.996498909,0.185,0.063,3.818647581915e-209,MKI67,BAP1
TRIB3,6.86932053607349e-175,0.791566435,0.167,0.059,3.8141902276548e-170,MKI67,TRIB3
POM121C,6.86882934309286e-245,1.128865352,0.198,0.066,3.81391749275231e-240,MKI67,POM121C
AP2M12,0,1.473928564,0.856,0.381,0,FRZB,AP2M1
ARL16,6.86238638864526e-214,0.777625727,0.291,0.125,3.81034004229528e-209,MKI67,ARL16
ZNF136,1.89818747032749e-62,1.473028527,0.181,0.061,1.05396859289934e-57,FRZB,ZNF136
ATG4B,6.8561642218753e-247,0.839273434,0.309,0.128,3.80688518419626e-242,MKI67,ATG4B
RETREG21,2.18983024940473e-95,1.472640142,0.289,0.101,1.21590324598197e-90,FRZB,RETREG2
RAB5C,6.85085997571464e-270,0.756647202,0.513,0.268,3.80394000151556e-265,MKI67,RAB5C
ZNF562,8.66910759806444e-78,1.472619578,0.205,0.065,4.81352199382528e-73,FRZB,ZNF562
SLIRP1,0,1.472429973,0.841,0.365,0,FRZB,SLIRP
HDHD31,7.33301899146626e-101,1.472309646,0.287,0.097,4.07165879501164e-96,FRZB,HDHD3
AC006129.2,6.83784149324592e-286,0.907302551,0.15,0.055,3.7967114891248e-281,CD19,AC006129.2
WDR74,2.19802650461385e-135,1.237238332,0.475,0.322,1.22045421668684e-130,FCRL5,WDR74
FADS3,1.92626871070247e-63,1.472255321,0.173,0.056,1.06956070161755e-58,FRZB,FADS3
LRCH4,6.83274785339178e-60,0.87597655,0.154,0.09,3.79388324559578e-55,GZMA,LRCH4
PAK1IP11,7.41799406597216e-22,1.23687406,0.169,0.119,4.11884120513104e-17,FCRL5,PAK1IP1
ZNF770,1.33856148866899e-21,1.236355159,0.163,0.113,7.43236266583457e-17,FCRL5,ZNF770
PES11,2.81673872301966e-94,1.47220968,0.305,0.112,1.56399417595667e-89,FRZB,PES1
APTX1,1.14553302182624e-113,1.472093852,0.335,0.118,6.36057210369021e-109,FRZB,APTX
SLC2A8,6.82168803209842e-189,0.936454246,0.185,0.067,3.78774227982265e-184,MKI67,SLC2A8
HEXB,8.91366191705123e-180,1.236082463,0.546,0.376,4.9493107794427e-175,FCRL5,HEXB
CHERP1,3.3367064741319e-90,1.471779632,0.265,0.092,1.85270626976174e-85,FRZB,CHERP
BRMS11,2.88491364945857e-184,1.471734291,0.539,0.202,1.60184830386187e-179,FRZB,BRMS1
"pEpip19 (HSPA1A, CD46)1",6.81946931379386e-297,0.814768974,0.402,0.171,3.78651033648404e-292,GZMA,"pEpip19 (HSPA1A, CD46)"
P2RX51,7.8064107324536e-114,1.470887165,0.341,0.12,4.33450955919486e-109,FRZB,P2RX5
SERPINB9,6.81765799859618e-136,1.070530338,0.261,0.145,3.78550460372053e-131,GZMA,SERPINB9
LINS11,8.68699758409007e-81,1.470318266,0.237,0.081,4.82345540856601e-76,FRZB,LINS1
ZNF263,1.0679800020403e-50,1.470297465,0.16,0.056,5.92995896132874e-46,FRZB,ZNF263
PIH1D11,2.45434423534685e-108,1.234842668,0.435,0.305,1.36277463667634e-103,FCRL5,PIH1D1
RFK1,1.62460493385502e-106,1.469260716,0.291,0.096,9.02061889523002e-102,FRZB,RFK
MDH11,3.1800967288449e-303,1.468308523,0.833,0.358,1.76574870869113e-298,FRZB,MDH1
IK1,3.12729965774703e-112,1.233299834,0.429,0.293,1.73643313496404e-107,FCRL5,IK
PAIP11,1.82187171809614e-219,1.467669969,0.635,0.246,1.01159427147288e-214,FRZB,PAIP1
DENND3,2.95041408570953e-29,1.232683905,0.206,0.145,1.63821742109021e-24,FCRL5,DENND3
pEpip032,6.80253373627685e-22,0.941003279,0.205,0.166,3.77710685706772e-17,MKI67,pEpip03
FAM98A1,6.95780858556714e-145,1.466877446,0.436,0.16,3.86332321713615e-140,FRZB,FAM98A
VASP1,6.79927294928595e-230,0.776752463,0.362,0.168,3.77529630509102e-225,MKI67,VASP
NIT21,1.17315485850912e-40,1.232184706,0.242,0.167,6.51394235187187e-36,FCRL5,NIT2
ERCC11,7.12275720718716e-249,1.466699718,0.695,0.277,3.95491093929067e-244,FRZB,ERCC1
TSNAX1,1.84262438148418e-36,1.231346752,0.22,0.149,1.02311718781909e-31,FCRL5,TSNAX
NMI,6.78497499458474e-270,1.095079997,0.218,0.072,3.76735736574318e-265,MKI67,NMI
NCBP2-AS21,1.27598770967065e-37,1.230734492,0.19,0.12,7.08492175794629e-33,FCRL5,NCBP2-AS2
AKAP1,6.78142673731183e-252,1.066718149,0.188,0.059,3.76538719589239e-247,MKI67,AKAP1
MRGBP,6.77363064220728e-297,1.240272447,0.183,0.051,3.76105841408559e-292,MKI67,MRGBP
CCDC85B,0,1.466690434,0.929,0.414,0,FRZB,CCDC85B
POU2F1,6.77245655444229e-248,0.848096348,0.293,0.119,3.76040650185408e-243,MKI67,POU2F1
DYNLT3,1.32009727193616e-25,1.229469521,0.179,0.123,7.32984010242553e-21,FCRL5,DYNLT3
POLR2G2,1.05412014501918e-218,1.466457532,0.615,0.228,5.85300210521902e-214,FRZB,POLR2G
PMPCA1,2.23129771622624e-132,1.466189577,0.402,0.147,1.23892805693462e-127,FRZB,PMPCA
UPF1,6.76640941633134e-182,0.828607549,0.202,0.078,3.75704882841798e-177,MKI67,UPF1
METTL81,3.23777925611545e-118,1.465813745,0.317,0.104,1.79777693195811e-113,FRZB,METTL8
ENSA1,9.4433317735748e-233,1.228784606,0.615,0.425,5.24340996727741e-228,FCRL5,ENSA
C17orf49,6.75593040598889e-181,1.189667528,0.188,0.072,3.75123035792533e-176,MKI67,C17orf49
A1BG,6.81975049569877e-260,1.465809288,0.762,0.336,3.78666646273674e-255,FRZB,A1BG
MRPL271,3.90998631509332e-222,1.465679669,0.645,0.256,2.17101990145557e-217,FRZB,MRPL27
KRR1,6.74779172014427e-266,0.795210815,0.394,0.179,3.74671135261011e-261,MKI67,KRR1
SENP2,2.62802249887323e-107,1.465659306,0.326,0.116,1.45920949249936e-102,FRZB,SENP2
ECI21,5.4981665452193e-41,1.228465798,0.249,0.175,3.05285697423301e-36,FCRL5,ECI2
PCBD21,7.64971828189745e-68,1.465205664,0.216,0.077,4.24750607602356e-63,FRZB,PCBD2
GPRIN31,6.74356134396544e-207,0.906733413,0.207,0.077,3.74436243623681e-202,MKI67,GPRIN3
RNF111,3.11081359413228e-180,1.465106113,0.497,0.174,1.72727924814195e-175,FRZB,RNF11
ATP1B31,8.67912549966305e-258,1.464924955,0.734,0.305,4.81908443368791e-253,FRZB,ATP1B3
ACBD3,3.60900979582811e-57,1.227378613,0.334,0.245,2.00390268913356e-52,FCRL5,ACBD3
MECR1,1.73979520503141e-66,1.464649443,0.2,0.069,9.6602128759369e-62,FRZB,MECR
SLC52A2,1.05808473028127e-249,1.464557874,0.707,0.282,5.87501546488678e-245,FRZB,SLC52A2
PARN,6.71826626537272e-142,0.826871217,0.181,0.076,3.7303173438482e-137,MKI67,PARN
CYTH2,2.32669101638913e-155,1.464459618,0.467,0.173,1.29189518685007e-150,FRZB,CYTH2
ZBED5,9.62751511705284e-23,1.226437498,0.166,0.115,5.34567776874359e-18,FCRL5,ZBED5
CYC12,0,1.464386831,0.942,0.456,0,FRZB,CYC1
HLA-DRA,6.71485523031235e-305,1.173939672,0.564,0.359,3.72842336663093e-300,GZMA,HLA-DRA
CARS,6.33820471437312e-46,1.224653488,0.252,0.171,3.51928816765567e-41,FCRL5,CARS
PAF1,6.71381209453818e-199,0.780794063,0.307,0.142,3.72784416549233e-194,MKI67,PAF1
QDPR1,5.24478522093442e-127,1.464298066,0.381,0.137,2.91216699392383e-122,FRZB,QDPR
TMEM1732,7.88750417985765e-95,1.463941366,0.225,0.066,4.37953669586596e-90,FRZB,TMEM173
APPBP2,1.28021078216524e-63,1.463225812,0.206,0.075,7.10837036797251e-59,FRZB,APPBP2
ZNF830,1.08056918817008e-17,1.223148589,0.163,0.12,5.99986041731437e-13,FCRL5,ZNF830
APH1A,6.70853675028435e-300,0.799105461,0.546,0.284,3.72491503059539e-295,MKI67,APH1A
SPARC,1.11797941690189e-81,1.462878334,0.153,0.039,6.20758071234773e-77,FRZB,SPARC
CBWD21,1.10354082377771e-92,1.462690099,0.33,0.131,6.12741042402571e-88,FRZB,CBWD2
GRN,0,1.461793248,0.955,0.483,0,FRZB,GRN
PHRF1,6.69834691998893e-215,1.131334799,0.175,0.058,3.71925712732385e-210,MKI67,PHRF1
